m_code,m_email,m_pw,m_phone,m_birth,m_gender,m_nickName,m_coupon,m_regDate,m_is_deleted,deleted_at
46,user46@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000046,1982-08-21,1,user46,1,2025-11-01 12:49,0,
47,user47@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000047,1991-10-02,0,user47,1,2025-11-01 12:49,1,2026-03-10 12:49
48,user48@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000048,2003-06-14,0,user48,1,2025-11-01 12:49,0,
49,user49@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000049,1987-11-23,0,user49,1,2025-11-01 12:49,0,
50,user50@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000050,1995-05-09,1,user50,1,2025-11-01 12:49,0,
51,user51@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000051,1984-03-12,0,user51,1,2025-11-01 12:49,0,
52,user52@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000052,1999-07-28,1,user52,1,2025-11-01 12:49,0,
53,user53@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000053,2002-11-03,1,user53,1,2025-11-01 12:49,1,2026-03-08 12:49
54,user54@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000054,1978-05-19,0,user54,1,2025-11-01 12:49,0,
55,user55@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000055,1989-09-10,1,user55,1,2025-11-01 12:49,0,
56,user56@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000056,1994-01-25,0,user56,1,2025-11-01 12:49,0,
57,user57@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000057,2005-12-01,1,user57,1,2025-11-01 12:49,0,
58,user58@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000058,1973-08-14,0,user58,1,2025-11-01 12:49,0,
59,user59@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000059,1986-04-06,1,user59,1,2025-11-01 12:49,1,2026-03-19 12:49
60,user60@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000060,1991-10-22,0,user60,1,2025-11-01 12:49,0,
61,user61@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000061,2000-02-18,1,user61,1,2025-11-01 12:49,0,
62,user62@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000062,1982-11-09,1,user62,1,2025-11-01 12:49,0,
63,user63@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000063,1997-06-30,0,user63,1,2025-11-01 12:49,0,
64,user64@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000064,1976-01-17,0,user64,1,2025-11-01 12:49,1,2026-03-16 12:49
65,user65@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000065,1988-05-05,0,user65,1,2025-11-01 12:49,0,
66,user66@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000066,1993-09-26,0,user66,1,2025-11-01 12:49,0,
67,user67@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000067,2004-03-08,1,user67,1,2025-11-01 12:49,0,
68,user68@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000068,1971-07-21,0,user68,1,2025-11-01 12:49,0,
69,user69@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000069,1985-12-12,1,user69,1,2025-11-01 12:49,0,
70,user70@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000070,1990-08-29,0,user70,1,2025-11-01 12:49,0,
71,user71@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000071,2003-04-11,1,user71,1,2025-11-01 12:49,1,2026-03-05 12:49
72,user72@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000072,1979-10-01,0,user72,1,2025-11-01 12:49,0,
73,user73@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000073,1987-02-23,1,user73,1,2025-12-01 12:49,0,
74,user74@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000074,1996-06-15,0,user74,1,2025-12-01 12:49,0,
75,user75@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000075,2001-01-02,1,user75,1,2025-12-01 12:49,0,
76,user76@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000076,1980-12-24,0,user76,1,2025-12-01 12:49,0,
77,user77@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000077,1992-07-07,1,user77,1,2025-12-01 12:49,0,
78,user78@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000078,1974-05-28,1,user78,1,2025-12-01 12:49,1,2026-03-12 12:49
79,user79@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000079,1989-11-16,0,user79,1,2025-12-01 12:49,0,
80,user80@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000080,1998-03-03,0,user80,1,2025-12-01 12:49,0,
81,user81@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000081,2004-09-09,1,user81,1,2025-12-01 12:49,0,
82,user82@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000082,1972-02-20,0,user82,1,2025-12-01 12:49,1,2026-03-11 12:49
83,user83@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000083,1986-07-31,1,user83,1,2025-12-01 12:49,0,
84,user84@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000084,1991-12-13,0,user84,1,2025-12-01 12:49,0,
85,user85@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000085,2000-06-26,1,user85,1,2025-12-01 12:49,0,
86,user86@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000086,1983-01-19,0,user86,1,2025-12-01 12:49,0,
87,user87@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000087,1995-08-04,1,user87,1,2025-12-01 12:49,0,
88,user88@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000088,1977-04-30,0,user88,1,2025-12-01 12:49,0,
89,user89@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000089,1988-10-22,1,user89,1,2025-12-01 12:49,0,
90,user90@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000090,1999-02-14,0,user90,1,2025-12-01 12:49,0,
91,user91@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000091,2003-05-18,0,user91,1,2025-12-01 12:49,0,
92,user92@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000092,1975-09-07,0,user92,1,2025-12-01 12:49,0,
93,user93@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000093,1981-03-27,1,user93,1,2025-12-01 12:49,0,
94,user94@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000094,1994-11-11,0,user94,1,2025-12-01 12:49,0,
95,user95@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000095,2001-07-02,1,user95,1,2025-12-01 12:49,1,2026-02-21 12:49
96,user96@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000096,1978-12-05,0,user96,1,2025-12-01 12:49,0,
97,user97@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000097,1987-06-09,1,user97,1,2025-12-01 12:49,0,
98,user98@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000098,1996-01-30,1,user98,1,2025-12-01 12:49,0,
99,user99@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000099,2005-10-12,0,user99,1,2025-12-01 12:49,0,
100,user100@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000100,1992-04-25,0,user100,1,2025-12-01 12:49,0,
101,user101@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000103,1985-03-14,1,nickname101,1,2025-12-01 12:49,1,2026-03-20 12:49
102,user102@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000104,1992-07-21,0,nickname102,1,2025-12-01 12:49,0,
103,user103@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000105,2001-11-05,1,nickname103,1,2025-12-01 12:49,0,
104,user104@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000106,1978-06-30,1,nickname104,1,2025-12-01 12:49,0,
105,user105@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000107,1999-12-11,1,nickname105,1,2025-12-01 12:49,0,
106,user106@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000108,1983-01-25,0,nickname106,1,2025-12-01 12:49,0,
107,user107@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000109,2005-04-17,1,nickname107,1,2025-12-01 12:49,0,
108,user108@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000110,1990-09-09,0,nickname108,1,2025-12-01 12:49,0,
109,user109@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000111,1975-02-13,1,nickname109,1,2025-12-01 12:49,1,2026-03-15 12:49
110,user110@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000112,2003-08-22,0,nickname110,1,2025-12-01 12:49,0,
111,user111@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000113,1988-10-01,0,nickname111,1,2025-12-01 12:49,0,
112,user112@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000114,1996-05-19,1,nickname112,1,2025-12-01 12:49,0,
113,user113@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000115,2002-03-07,1,nickname113,1,2025-12-01 12:49,0,
114,user114@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000116,1973-11-28,0,nickname114,1,2025-12-01 12:49,0,
115,user115@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000117,1981-07-04,1,nickname115,1,2025-12-01 12:49,1,2026-03-17 12:49
116,user116@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000118,1994-12-30,0,nickname116,1,2025-12-01 12:49,0,
117,user117@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000119,2000-06-16,0,nickname117,1,2025-12-01 12:49,0,
118,user118@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000120,1986-09-23,0,nickname118,1,2025-12-01 12:49,0,
119,user119@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000121,1979-04-12,0,nickname119,1,2025-12-01 12:49,0,
120,user120@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000122,2004-01-08,0,nickname120,1,2025-12-01 12:49,0,
121,user121@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000123,1991-03-15,1,nickname121,1,2025-12-01 12:49,0,
122,user122@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000124,1987-10-19,0,nickname122,1,2025-12-01 12:49,0,
123,user123@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000125,2005-02-02,1,nickname123,1,2025-12-01 12:49,1,2026-03-13 12:49
124,user124@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000126,1976-06-25,0,nickname124,1,2025-12-01 12:49,0,
125,user125@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000127,1998-11-11,1,nickname125,1,2025-12-01 12:49,0,
126,user126@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000128,1984-07-07,1,nickname126,1,2025-12-01 12:49,0,
127,user127@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000129,2003-05-03,0,nickname127,1,2025-12-01 12:49,0,
128,user128@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000130,1972-08-18,0,nickname128,1,2025-12-01 12:49,0,
129,user129@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000131,1997-12-29,1,nickname129,1,2025-12-01 12:49,0,
130,user130@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000132,1989-09-09,0,nickname130,1,2025-12-01 12:49,0,
131,user131@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000133,2001-01-01,1,nickname131,1,2025-12-01 12:49,0,
132,user132@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000134,1982-02-14,0,nickname132,1,2025-12-01 12:49,0,
133,user133@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000135,1995-03-21,1,nickname133,1,2025-12-01 12:49,0,
134,user134@naver.com,$2a$10$xc9fFZ1MS.KLxzswXTT0.un8brEmJr0XCjCj4ZoDbK5UMmZykTcYm,1000000136,1977-04-10,0,nickname134,1,2025-12-01 12:49,0,
